"A1";"A2";"A3";"A4";"A8";"A9";"A11";"A12";"A13";"A14";"A16"
"b";62,75;7;"u";0;"f";0;"f";"g";0;"-"
"a";65,17;14;"u";0;"t";11;"t";"g";0;"+"
"b";16,92;0,335;"y";0,29;"f";0;"f";"s";200;"-"
"b";21,92;0,5;"u";0,125;"f";0;"f";"g";360;"-"
"a";25;12,33;"u";3,5;"t";6;"f";"g";400;"+"
"a";17,67;0;"y";0;"f";0;"f";"g";86;"-"
"b";33,58;2,75;"u";4,25;"t";6;"f";"g";204;"+"
"b";30,17;0,5;"u";1,75;"t";11;"f";"g";32;"+"
"b";23,5;2,75;"u";4,5;"f";0;"f";"g";160;"-"
"b";35;2,5;"u";1;"f";0;"t";"g";210;"-"
"a";28,5;1;"u";1;"t";2;"t";"g";167;"-"
"b";16,25;0;"y";0,25;"f";0;"f";"g";60;"-"
"b";23,08;11,5;"u";3,5;"t";9;"f";"g";56;"+"
"b";41;0,04;"u";0,04;"f";1;"f";"s";560;"+"
"b";19,42;6,5;"u";1,46;"t";7;"f";"g";80;"+"
"b";30,67;2,5;"u";2,25;"f";0;"t";"s";340;"-"
"a";60,58;16,5;"u";11;"t";0;"t";"g";21;"+"
"b";40;6,5;"u";3,5;"t";1;"f";"g";0;"+"
"b";23,5;3,165;"y";0,415;"f";1;"t";"g";280;"-"
"b";48,33;12;"u";16;"t";0;"f";"s";110;"+"
"b";23,75;12;"u";2,085;"f";0;"f";"s";80;"-"
"b";23,25;4;"u";0,25;"t";0;"t";"g";160;"+"
"b";29,17;3,5;"u";3,5;"t";3;"t";"g";329;"-"
"b";45;8,5;"u";14;"t";1;"t";"g";88;"+"
"a";31,92;3,125;"u";3,04;"f";2;"t";"g";200;"-"
"b";23,33;1,5;"u";1,415;"t";0;"f";"g";422;"+"
"b";19,67;0,375;"u";2;"t";2;"t";"g";80;"+"
"a";23;1,835;"u";0;"f";1;"f";"g";200;"-"
"b";31,92;4,46;"u";6,04;"t";3;"f";"g";311;"+"
"a";21,92;11,665;"u";0,085;"f";0;"f";"g";320;"-"
"b";20,17;8,17;"u";1,96;"t";14;"f";"g";60;"+"
"b";54,33;6,75;"u";2,625;"t";11;"t";"g";0;"+"
"b";17,08;0,085;"y";0,04;"f";0;"f";"g";140;"-"
"a";68,67;15;"u";0;"t";14;"f";"g";0;"+"
"b";24,75;0,54;"u";1;"f";0;"t";"g";120;"-"
"b";18,67;5;"u";0,375;"t";2;"f";"g";0;"-"
"b";18,58;5,71;"u";0,54;"f";0;"f";"g";120;"-"
"a";20,75;10,335;"u";0,335;"t";1;"t";"g";80;"+"
"b";48,08;6,04;"u";0,04;"f";0;"f";"g";0;"+"
"b";52,42;1,5;"u";3,75;"f";0;"t";"g";0;"-"
"b";20,5;2,415;"u";2;"t";11;"t";"g";200;"+"
"a";53,33;0,165;"u";0;"f";0;"t";"s";62;"-"
"b";39,08;6;"u";1,29;"t";5;"t";"g";108;"+"
"a";58,67;4,46;"u";3,04;"t";6;"f";"g";43;"+"
"a";38,92;1,665;"u";0,25;"f";0;"f";"g";0;"-"
"a";46,67;0,46;"u";0,415;"t";11;"t";"g";440;"+"
"b";47,17;5,835;"u";5,5;"f";0;"f";"g";465;"-"
"a";22,92;11,585;"u";0,04;"t";0;"f";"g";80;"+"
"b";17,92;0,205;"u";0,04;"f";0;"f";"g";280;"-"
"a";23,5;1,5;"u";0,875;"f";0;"t";"g";160;"-"
"b";21,08;10,085;"y";1,25;"f";0;"f";"g";260;"-"
"b";16,5;0,125;"u";0,165;"f";0;"f";"g";132;"-"
"b";31,67;16,165;"u";3;"t";9;"f";"g";250;"+"
"a";57,58;2;"u";6,5;"f";1;"f";"g";0;"-"
"b";32,75;2,335;"u";5,75;"f";0;"t";"g";292;"-"
"a";39,08;4;"u";3;"f";0;"f";"g";480;"-"
"b";57,83;7,04;"u";14;"t";6;"t";"g";360;"+"
"a";52,17;0;"y";0;"f";0;"f";"g";0;"-"
"b";32,08;4;"u";2,5;"t";0;"t";"g";360;"+"
"b";52,33;1,375;"y";9,46;"t";0;"t";"g";200;"-"
"b";23,92;0,585;"y";0,125;"f";0;"f";"g";240;"-"
"b";53,92;9,625;"u";8,665;"t";5;"f";"g";0;"+"
"a";28,5;3,04;"y";2,54;"t";1;"f";"g";70;"+"
"b";27,67;2;"u";1;"t";4;"f";"g";140;"+"
"a";24,5;0,5;"u";1,5;"t";0;"f";"g";280;"+"
"a";22,67;0,79;"u";0,085;"f";0;"f";"g";144;"-"
"a";23,42;0,79;"y";1,5;"t";2;"t";"g";80;"+"
"b";24,33;6,625;"y";5,5;"t";0;"t";"s";100;"+"
"b";28,67;9,335;"u";5,665;"t";6;"f";"g";381;"+"
"b";21,33;10,5;"u";3;"t";0;"t";"g";0;"+"
"b";23,58;0,835;"u";0,085;"f";0;"t";"g";220;"-"
"b";21,58;0,79;"y";0,665;"f";0;"f";"g";160;"-"
"b";18,5;2;"u";1,5;"t";2;"f";"g";120;"+"
"a";22,58;10,75;"u";0,415;"t";5;"t";"g";0;"+"
"b";40,58;1,5;"u";0;"f";0;"f";"s";300;"-"
"b";26,75;4,5;"y";2,5;"f";0;"f";"g";200;"-"
"a";29,5;1,085;"y";1;"f";0;"f";"g";280;"-"
"b";17,08;3,29;"u";0,335;"f";0;"t";"g";140;"-"
"b";33,17;3,165;"y";3,165;"t";3;"t";"g";380;"+"
"b";19,33;10,915;"u";0,585;"f";2;"t";"g";200;"-"
"a";33,67;0,375;"u";0,375;"f";0;"f";"g";300;"+"
"b";21,67;1,165;"y";2,5;"t";1;"f";"g";180;"-"
"a";27,42;14,5;"u";3,085;"t";1;"f";"g";120;"+"
"a";20,75;9,54;"u";0,04;"f";0;"f";"g";200;"-"
"a";25,42;1,125;"u";1,29;"t";2;"f";"g";200;"-"
"a";33,92;1,585;"y";0;"t";0;"f";"g";320;"-"
"b";30,75;1,585;"u";0,585;"f";0;"t";"s";0;"-"
"b";31;2,085;"u";0,085;"f";0;"f";"g";300;"-"
"b";19,33;9,5;"u";1;"t";0;"t";"g";60;"+"
"a";58,42;21;"u";10;"t";13;"f";"g";0;"+"
"a";15,83;7,625;"u";0,125;"f";1;"t";"g";0;"-"
"b";24,5;13,335;"y";0,04;"f";0;"t";"g";120;"-"
"b";49,58;19;"u";0;"t";1;"f";"g";94;"-"
